Date,Source,Message,msg_len,token_count,cluster,source_weight,source_id
2025-03-01 15:21:55,degenpump_crypto_pump_signals,kucoin futures vineusdt takeprofit target profit period minutes,63,8,0,1.5534221890825488e-05,57
2025-03-15 08:34:02,degenpump_crypto_pump_signals,bitget futures tiausdt takeprofit target profit period minutes,62,8,0,1.5534221890825488e-05,57
2025-04-24 05:14:40,degenpump_crypto_pump_signals,kucoin futures oneusdt takeprofit target profit period minutes,62,8,0,1.5534221890825488e-05,57
2025-03-13 05:16:20,degenpump_crypto_pump_signals,bitget futures kucoin futures virtualusdt takeprofit target profit period hours minutes,87,11,0,1.5534221890825488e-05,57
2025-04-01 12:27:48,degenpump_crypto_pump_signals,bitget futures sunusdt takeprofit target profit period minutes,62,8,0,1.5534221890825488e-05,57
2025-02-28 20:14:45,degenpump_crypto_pump_signals,binance futures bitget futures lokausdt takeprofit target profit period hours minutes,85,11,0,1.5534221890825488e-05,57
2025-02-27 14:38:18,degenpump_crypto_pump_signals,bitget futures achusdt takeprofit target profit period minutes,62,8,0,1.5534221890825488e-05,57
2025-04-29 19:25:07,degenpump_crypto_pump_signals,bitget futures bananausdt takeprofit target profit period minutes,65,8,0,1.5534221890825488e-05,57
2025-04-22 08:15:53,degenpump_crypto_pump_signals,bitget futures reiusdt takeprofit target profit period minutes,62,8,0,1.5534221890825488e-05,57
2025-03-20 14:59:10,degenpump_crypto_pump_signals,binance futures sklusdt takeprofit target profit period minutes,63,8,0,1.5534221890825488e-05,57
2025-04-22 07:32:50,degenpump_crypto_pump_signals,token pump result nd target achieved in just hours minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,324,54,1,1.5534221890825488e-05,57
2025-03-26 18:02:12,degenpump_crypto_pump_signals,b pump result all targets achieved in just hours minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,322,54,1,1.5534221890825488e-05,57
2025-03-20 22:34:06,degenpump_crypto_pump_signals,x pump result rd target achieved in just minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,314,53,1,1.5534221890825488e-05,57
2025-04-09 01:39:37,degenpump_crypto_pump_signals,alch pump result nd target achieved in just minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,317,53,1,1.5534221890825488e-05,57
2025-03-02 01:59:11,degenpump_crypto_pump_signals,tnsr pump result all targets achieved in just hours minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,325,54,1,1.5534221890825488e-05,57
2025-04-22 01:59:32,degenpump_crypto_pump_signals,nmr pump result nd target achieved in just hours minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,322,54,1,1.5534221890825488e-05,57
2025-04-08 13:08:43,degenpump_crypto_pump_signals,flux pump result st target achieved in just minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,317,53,1,1.5534221890825488e-05,57
2025-04-28 07:58:21,degenpump_crypto_pump_signals,algo pump result rd target achieved in just days hours minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,328,55,1,1.5534221890825488e-05,57
2025-04-09 17:32:26,degenpump_crypto_pump_signals,stx pump result all targets achieved in just days hours minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,329,55,1,1.5534221890825488e-05,57
2025-03-15 04:03:20,degenpump_crypto_pump_signals,near pump result nd target achieved in just minutes huge quick profit advance buy and sell targets given only to our premium members more quick profit signals available in premium channel hurry up contact now degeninvestor for premium membership to grab all quick profit signals today the chart join now and get bonus,317,53,1,1.5534221890825488e-05,57
2025-03-04 05:16:05,CoinMarketCap,please specify valid crypto symbol or contract address eg p btc,63,11,2,4.733951903048665e-05,14
2025-03-04 13:49:01,AltSignals,update usdcad takeprofit targets pips,37,5,2,0.0019305019305019305,0
2025-04-09 14:17:18,BinanceKillers,vip market update btc btc is currently forming descending triangle pattern it recently bounced off support trendline is now trading just below resistance trendline for shortterm direction confirmation we need to wait for clear breakout or breakdown from triangle binance killers,278,41,2,0.0008865248226950354,2
2025-04-17 14:34:08,BinanceKillers,vip update european central bank has cut interest rates to binance killers,74,12,2,0.0008865248226950354,2
2025-04-16 00:43:57,CoinMarketCap,please specify valid crypto symbol or contract address eg p btc,63,11,2,4.733951903048665e-05,14
2025-04-06 22:02:01,BinanceKillers,vip crypto market rsi heatmap timeframe daily binance killers,61,9,2,0.0008865248226950354,2
2025-01-08 22:21:26,BinanceKillers,vip market update xrp xrp is currently consolidating within symmetrical triangle pattern breakout from this structure confirmed by candle close above or successful retest of breakout level would signal bullish confirmation until then price action is likely to remain confined within triangle with potential for further oscillation between support resistance levels binance killers,380,53,2,0.0008865248226950354,2
2025-01-17 03:55:28,BitcoinBullets,insider update secs top lawyer megan barbero to resign on january bitcoin bullets trading,89,14,2,0.0015600624024961,5
2025-02-15 10:34:14,BitcoinBullets,crypto market rsi h heatmap bitcoin bullets trading,51,8,2,0.0015600624024961,5
2025-03-22 00:19:52,santiment_network,our weekly market update deep dives the sideways action indicating a sense of complacency and boredom from crypto traders but the good news is whales arent asleep while retailers are,182,30,2,0.003436426116838488,60
2025-03-19 15:19:54,FXLeaders,close half and set breakeven pips,33,6,3,0.00020824656393169514,28
2025-02-14 08:24:59,FXLeaders,hit tp pips can close or secure this trade now who wanna hold do set be for risk,80,18,3,0.00020824656393169514,28
2025-04-24 13:00:57,CoinMarketCap,didnt even look twice got dragged into x overnight,50,9,3,4.733951903048665e-05,14
2025-04-25 10:49:11,ChainlinkOfficial,if theres demand for particular chainlink service on chain team will eventually deploy said services there itll just take some time as team generally focuses where their services are needed most,194,31,3,0.0009606147934678194,11
2025-04-18 03:15:38,EliteSignals,gold market closed today due to good friday stay safe and enjoy your weekend,76,14,3,0.0015873015873015873,23
2025-03-29 07:01:49,CoinMarketCap,not once have they overhyped call its all business it works,59,11,3,4.733951903048665e-05,14
2025-04-20 14:30:55,UnitedSignals,usoil bearish continuation short trade usoil classic bearish pattern our team expects retracement suggested trade swing trade sell usoil entry stop take our risk tradingview link,178,26,3,0.00129366106080207,49
2025-01-10 09:37:48,whale_alert_io,btc usd transferred from kraken to unknown wallet details,57,9,3,0.000407000407000407,63
2025-04-12 07:42:35,PolkadotOfficial,no problems system works transactions are processed updates are coming,70,10,3,0.0002697599136768276,43
2025-03-27 20:42:28,PolkadotOfficial,welcome to family mate you may wish to starts from quick prompt read up on anything onboard yourself,100,18,3,0.0002697599136768276,43
2025-04-01 22:04:40,degenpump_crypto_pump_signals,sun pump result st target achieved in just hours minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,187,34,4,1.5534221890825488e-05,57
2025-03-24 04:56:56,degenpump_crypto_pump_signals,one pump result nd target achieved in just days hours minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,192,35,4,1.5534221890825488e-05,57
2025-04-14 10:25:44,degenpump_crypto_pump_signals,vvv pump result st target achieved in just hours minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,187,34,4,1.5534221890825488e-05,57
2025-04-24 12:57:57,degenpump_crypto_pump_signals,chz pump result rd target achieved in just hours minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,187,34,4,1.5534221890825488e-05,57
2025-05-02 14:00:55,degenpump_crypto_pump_signals,turbo pump result st target achieved in just minutes huge quick profit join now in order to get your next profit contact for vip premium the chart join now and get bonus,169,32,4,1.5534221890825488e-05,57
2025-04-25 00:28:29,degenpump_crypto_pump_signals,ygg pump result rd target achieved in just hours minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,187,34,4,1.5534221890825488e-05,57
2025-04-17 11:35:30,degenpump_crypto_pump_signals,qtum pump result st target achieved in just minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,182,33,4,1.5534221890825488e-05,57
2025-03-05 12:43:00,degenpump_crypto_pump_signals,gps pump result st target achieved in just minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,181,33,4,1.5534221890825488e-05,57
2025-04-25 08:48:57,degenpump_crypto_pump_signals,lumia pump result nd target achieved in just minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,183,33,4,1.5534221890825488e-05,57
2025-03-26 07:39:49,degenpump_crypto_pump_signals,waxp pump result nd target achieved in just hours minutes huge quick profit join now in order to get your next profit contact degeninvestor for vip premium the chart join now and get bonus,188,34,4,1.5534221890825488e-05,57
